"ID","Kanban","Epic","Task","Subtasks","Area","Primary Role","Dependencies","Target Sprint","Priority","Deliverable","Acceptance"
"PKT-024","Backlog","Calendar","Integrar Google Calendar","OAuth; create/update/delete sync; conflicto simple; reconnect flow","Backend","Backend Engineer","Google credentials y calendar service","Sprint 4","P0","Google sync","Eventos se sincronizan de forma confiable"
"PKT-025","Backlog","Notifications","Push y recordatorios","push token; resumen matutino; recordatorio pre-cita; alerta por lead caliente","Mobile + Backend","Mobile Engineer","Agenda y planner","Sprint 4","P1","Push layer","El broker recibe recordatorios relevantes"
"PKT-026","Backlog","Landing","Landing page simple del broker","template pública; branding básico; formulario; lead capture; tracking mínimo","Backend + Web","Backend Engineer","Landing service","Sprint 5","P1","Landing broker","Un broker puede compartir landing y recibir leads en CRM"
"PKT-027","Backlog","Automation","Montar flujos n8n base","nuevo lead inbound; lead sin seguimiento; confirmación visita; post-visita","Automation","Automation Engineer","n8n environment y webhooks","Sprint 5","P0","Base automation pack","Hay 4 workflows funcionales y auditables"
"PKT-028","Backlog","Automation","Enviar email o WhatsApp simple a uno o varios leads","selección múltiple; plantillas cortas; logs; confirmación humana","Automation + Backend","Automation Engineer","Lead selection y providers","Sprint 5","P1","Simple outreach","El broker puede ejecutar follow-up simple sin campaña masiva"
"PKT-029","Backlog","Analytics","Construir analytics personales","overview; timeline; métricas por fuente; productividad semanal","Backend + Product","Backend Engineer","Metrics model","Sprint 5","P1","Personal analytics","El broker puede revisar rendimiento personal de forma simple"
"PKT-030","Backlog","Offline","Implementar SQLite y cola de sync","schema local; caché leads; cola de mutaciones; reintentos; banner sync","Mobile","Mobile Engineer","Lead list y detail","Sprint 5","P1","Offline foundation","La app funciona con conectividad intermitente"
"PKT-031","Pre-Launch","QA","Ejecutar QA funcional y E2E","smoke tests; E2E mobile; E2E web; checklist beta; triage defects","QA","QA Engineer","MVP funcional integrado","Sprint 5","P0","QA sign-off","No hay defectos críticos abiertos para beta"
"PKT-032","Pre-Launch","Beta","Ejecutar beta cerrada con brokers reales","reclutamiento; guion de feedback; sesiones; consolidado de hallazgos; repriorización","Product + QA","PM","Build beta estable","Sprint 5","P0","Beta report","Se obtiene feedback accionable de 10-15 brokers"
"PKT-033","Pre-Launch","Release","Preparar release Android/iOS/WebApp","EAS build; TestFlight; Play Internal; PWA installable; release notes","DevOps + Mobile","DevOps Engineer","QA sign-off","Sprint 5","P0","Release candidate","Existe RC distribuible en los 3 canales"
"PKT-034","Pre-Launch","Operations","Cerrar runbook y ownership post-launch","checklist release; rollback; monitorización; guardias; ownership por área","PM + DevOps","PM / DevOps","RC listo","Sprint 5","P1","Runbook operativo","Existe plan de salida y soporte post-lanzamiento"
