"Task ID","Parent Task ID","Type","Task Name","Area","Responsible Role","Sprint","Status","Priority","Critical Path","Preconditions","Postconditions","Description"
"PKMVP-003.2","PKMVP-003","Subtask","Refactorizar App shell para bootstrapping autenticado","Mobile Frontend","Lead Mobile","Sprint 1","Planned","P0","Yes","Storage seguro definido","La app rehidrata sesión al abrir","Separar estado demo de estado live y sesión persistida."
"PKMVP-003.3","PKMVP-003","Subtask","Implementar logout y manejo básico de expiración","Mobile Frontend","Lead Mobile","Sprint 1","Planned","P1","No","Sesión persistente operativa","El usuario puede salir y recuperarse de token inválido","Agregar flujos de salida y errores de autenticación."
"PKMVP-004","","Task","Operación real de leads, etapas y actividades","Backend + Mobile","Lead Backend","Sprint 1-2","Planned","P0","Yes","Contrato de leads definido","Leads se operan con persistencia real","Cerrar el flujo operativo principal del broker dentro de Pocket."
"PKMVP-004.1","PKMVP-004","Subtask","Normalizar lead list y lead detail para Pocket","Mobile Frontend","Lead Mobile","Sprint 1","Planned","P0","Yes","Payloads de leads confirmados","Lista y detalle consumen datos consistentes","Ajustar mappers y estado UI para datos reales."
"PKMVP-004.2","PKMVP-004","Subtask","Exponer update de etapa y notas/actividad","Backend","Lead Backend","Sprint 2","Planned","P0","Yes","Modelo de actividad acordado","Existe persistencia de movimientos y notas","Agregar endpoints o adaptar existentes para mutaciones mínimas."
"PKMVP-004.3","PKMVP-004","Subtask","Conectar quick actions a flujos persistentes","Mobile Frontend","Lead Mobile","Sprint 2","Planned","P0","Yes","Mutaciones backend disponibles","Crear tarea, marcar follow-up y cambiar etapa funcionan","Reemplazar toasts demo por acciones reales donde aplique."
"PKMVP-004.4","PKMVP-004","Subtask","Agregar auditoría básica de actividad por lead","Backend","Lead Backend","Sprint 2","Planned","P1","No","Registro de actividad habilitado","Timeline usable para contexto del broker","Guardar quién hizo qué y cuándo sobre el lead."
"PKMVP-005","","Task","Dashboard Momentum con datos reales","Product + Backend + Mobile","Lead Product","Sprint 2-3","Planned","P0","Yes","Leads y actividades reales disponibles","Home muestra foco del día basado en datos reales","Sustituir señales mock por momentum y actividad real del broker."
"PKMVP-005.1","PKMVP-005","Subtask","Definir dataset MVP del dashboard","Product","PM / Product Owner","Sprint 2","Planned","P0","Yes","Alcance MVP congelado","Métricas y señales mínimas acordadas","Elegir qué números y alerts sí entran al lanzamiento."
"PKMVP-005.2","PKMVP-005","Subtask","Implementar endpoint o agregación para momentum","Backend","Lead Backend","Sprint 3","Planned","P0","Yes","Dataset definido","API devuelve foco del día y señales prioritarias","Construir capa de cálculo mínima para dashboard."
"PKMVP-005.3","PKMVP-005","Subtask","Conectar DashboardScreen a datos live","Mobile Frontend","Lead Mobile","Sprint 3","Planned","P0","Yes","Agregación backend lista","Home live reemplaza bloques mock","Conectar hero, radar y actividad a endpoints reales."
"PKMVP-006","","Task","Agenda real y follow-up básico","Backend + Mobile","Lead Backend","Sprint 2-3","Planned","P0","Yes","Contrato de actividad y leads listo","Agenda diaria soporta seguimiento y eventos básicos","Llevar la pantalla de agenda desde demo a operación."
"PKMVP-006.1","PKMVP-006","Subtask","Definir modelo mínimo de agenda y follow-up","Backend","Lead Backend","Sprint 2","Planned","P0","Yes","Contrato Pocket revisado","Esquema agenda-evento-follow-up aprobado","Definir campos, estados y relación con lead."
"PKMVP-006.2","PKMVP-006","Subtask","Crear endpoints de agenda MVP","Backend","Lead Backend","Sprint 3","Planned","P0","Yes","Modelo aprobado","API agenda disponible","Agregar lectura y creación/edición básica."
"PKMVP-006.3","PKMVP-006","Subtask","Conectar AgendaScreen y creación de follow-up","Mobile Frontend","Lead Mobile","Sprint 3","Planned","P0","Yes","API agenda disponible","Agenda deja de depender de mock","Sustituir agendaItems mock por consulta real."
"PKMVP-007","","Task","Copilot v1 con query real y scripts","IA + Backend + Mobile","Lead AI","Sprint 3-4","Planned","P0","Yes","Leads y agenda reales mínimas disponibles","Copilot responde con contexto real y acciones sugeridas","Aterrizar un copiloto útil y acotado al MVP."
"PKMVP-007.1","PKMVP-007","Subtask","Definir casos de uso reales del copiloto MVP","IA","Lead AI","Sprint 3","Planned","P0","Yes","Scope MVP congelado","Prompt surface MVP cerrada","Recortar el copiloto a resumen, objeciones, script y siguiente acción."
"PKMVP-007.2","PKMVP-007","Subtask","Implementar query backend para copilot","Backend + IA","Lead Backend","Sprint 4","Planned","P0","Yes","Casos de uso definidos","Existe endpoint de consulta del copiloto","Orquestar contexto compacto y respuesta estructurada."
"PKMVP-007.3","PKMVP-007","Subtask","Conectar CopilotScreen a backend real","Mobile Frontend","Lead Mobile","Sprint 4","Planned","P0","Yes","Endpoint copiloto disponible","Chat deja de ser sólo demo","Agregar loading, error y render de respuesta real."
"PKMVP-007.4","PKMVP-007","Subtask","Conservar generación de scripts como acción productiva","IA","Lead AI","Sprint 4","Planned","P1","No","Query real conectada","Script generation se integra al flujo del copiloto","Reutilizar y endurecer el flujo ya existente de generate-script."
"PKMVP-008","","Task","Importación CSV MVP para carga inicial","Backend + Mobile","Lead Backend","Sprint 2","Planned","P1","No","Flujo import del backend existente identificado","Broker puede cargar base inicial desde Pocket o flujo asistido","Habilitar una vía realista para cargar leads al inicio."
"PKMVP-008.1","PKMVP-008","Subtask","Mapear flujo existente de import del backend","Backend","Lead Backend","Sprint 2","Planned","P1","No","Revisión de endpoints web existente","Se conoce reutilización posible","Determinar si Pocket llama al backend actual o a capa intermedia."
"PKMVP-008.2","PKMVP-008","Subtask","Diseñar UX mínima de importación en Pocket","UX/UI","Lead Product Designer","Sprint 2","Planned","P1","No","Flujo backend identificado","UX aprobada para MVP","Definir upload, preview y confirmación sin sobre-diseñar."
"PKMVP-008.3","PKMVP-008","Subtask","Implementar happy path de importación CSV","Mobile Frontend","Lead Mobile","Sprint 2","Planned","P1","No","Backend reutilizable disponible","Carga inicial usable","Conectar el flujo mínimo con feedback de éxito/error."
"PKMVP-009","","Task","Pipeline técnico de beta y observabilidad mínima","DevOps","DevOps Lead","Sprint 4","Planned","P0","Yes","Builds EAS y CI actuales disponibles","Existe beta interna repetible y trazable","Pasar de build demo a pipeline de beta controlada."
"PKMVP-009.1","PKMVP-009","Subtask","Configurar build interna Android repetible","DevOps","DevOps Lead","Sprint 4","Planned","P0","Yes","EAS config existente","APK/preview interno estable","Estandarizar comando, versionado y entrega."
"PKMVP-009.2","PKMVP-009","Subtask","Activar observabilidad mínima móvil","DevOps","DevOps Lead","Sprint 4","Planned","P1","No","Entornos definidos","Errores clave quedan visibles","Conectar Sentry/PostHog o equivalente mínimo."
"PKMVP-009.3","PKMVP-009","Subtask","Documentar checklist de beta interna","DevOps + QA","QA Lead","Sprint 4","Planned","P1","No","Build estable","Equipo puede validar siempre igual","Definir pasos, criterios y rollback inicial."
"PKMVP-010","","Task","QA funcional y readiness de lanzamiento","QA","QA Lead","Sprint 4-5","Planned","P0","Yes","Flujos MVP implementados","No quedan defectos críticos abiertos","Asegurar que el MVP funciona como producto, no sólo como demo."
"PKMVP-010.1","PKMVP-010","Subtask","Definir smoke suite por flujo crítico","QA","QA Lead","Sprint 4","Planned","P0","Yes","Alcance MVP congelado","Smoke suite publicada","Cubrir login, lead flow, agenda, copiloto y script."
"PKMVP-010.2","PKMVP-010","Subtask","Ejecutar UAT por sprint con Product","QA + Product","QA Lead","Sprint 4-5","Planned","P0","Yes","Smoke suite definida","Feedback funcional incorporado por sprint","Hacer validación guiada al cierre de cada sprint."
"PKMVP-010.3","PKMVP-010","Subtask","Triage de bugs P0 y P1 hasta sign-off","QA","QA Lead","Sprint 5","Planned","P0","Yes","Bugs detectados y priorizados","Sign-off de lanzamiento","Cerrar defectos de severidad alta."
"PKMVP-011","","Task","Release candidate y runbook operativo","PM + DevOps + Mobile","PM / DevOps","Sprint 5","Planned","P0","Yes","QA sign-off y beta estable","Existe RC distribuible con soporte definido","Preparar salida controlada del MVP."
"PKMVP-011.1","PKMVP-011","Subtask","Generar release candidate Android y Web","DevOps + Mobile","DevOps Lead","Sprint 5","Planned","P0","Yes","Beta estable","RC distribuible disponible","Emitir build candidata con versionado y notas."
"PKMVP-011.2","PKMVP-011","Subtask","Consolidar feedback beta y decisión go/no-go","Product","PM / Product Owner","Sprint 5","Planned","P0","Yes","Feedback de beta recopilado","Decisión ejecutiva documentada","Cerrar riesgos abiertos antes de salida."
"PKMVP-011.3","PKMVP-011","Subtask","Publicar runbook de operación y soporte","PM + DevOps","PM / DevOps","Sprint 5","Planned","P1","No","RC listo","Equipo sabe cómo lanzar, monitorear y responder","Dejar checklist de release, rollback y ownership."
