"Task ID","Parent Task ID","Type","Task Name","Area","Responsible Role","Sprint","Status","Priority","Critical Path","Preconditions","Postconditions","Description"
"PKWEB-005.2","PKWEB-005","Subtask","Ejecutar secuencia outbound e inbound por canal","Growth","Demand Gen Lead","Sprint W2-W3","Planned","P0","Yes","Base y piezas listas","Campaña activa en todos los canales clave","Activar email, social, mensajes directos y comunidades."
"PKWEB-005.3","PKWEB-005","Subtask","Lanzar pruebas pagadas o alianzas de distribucion","Growth + Partnerships","Growth Lead","Sprint W2-W3","Planned","P1","No","Tracking y assets listos","Canales adicionales validados","Probar ads pequeños o distribución con aliados."
"PKWEB-006","","Task","Preparar demo comercial y oferta de cierre","Product Marketing + Sales","PMM Lead","Sprint W2-W3","Planned","P0","Yes","Narrativa del webinar aprobada","Existe demo convincente y oferta de cierre lista","Preparar el corazón comercial del webinar en vivo."
"PKWEB-006.1","PKWEB-006","Subtask","Definir caso de uso en vivo y flujo demo estable","Product + PMM","PM / Product Owner","Sprint W2","Planned","P0","Yes","MVP demo estable disponible","Demo cerrada para rehearsal","Seleccionar el recorrido más vendedor y menos frágil."
"PKWEB-006.2","PKWEB-006","Subtask","Preparar prueba social beneficios y antes despues","Sales + PMM","Sales Lead","Sprint W2","Planned","P1","No","Caso de uso elegido","Bloques de prueba comercial listos","Armar beneficios medibles, mini casos y diferenciadores."
"PKWEB-006.3","PKWEB-006","Subtask","Diseñar oferta de cierre bono urgencia y siguiente paso","Sales","Sales Lead","Sprint W3","Planned","P0","Yes","CTA y precio comercial alineados","Oferta final lista","Definir incentivo del webinar y acción inmediata posterior."
"PKWEB-007","","Task","Asegurar operacion tecnica y rehearsal del webinar","Webinar Ops","Marketing Ops Lead","Sprint W3","Planned","P0","Yes","Demo y oferta listas para ensayo","El webinar puede ejecutarse sin fricción técnica","Blindar plataforma, roles y contingencias antes del vivo."
"PKWEB-007.1","PKWEB-007","Subtask","Seleccionar plataforma registro streaming y backup","Webinar Ops","Marketing Ops Lead","Sprint W3","Planned","P0","Yes","Formato del webinar definido","Stack técnico confirmado","Elegir plataforma y plan de contingencia."
"PKWEB-007.2","PKWEB-007","Subtask","Ejecutar ensayo completo con speakers y moderacion","Webinar Ops + Speakers","Webinar Host","Sprint W3","Planned","P0","Yes","Stack técnico definido","Ensayo general completado","Simular tiempos, handoffs, preguntas y CTA."
"PKWEB-007.3","PKWEB-007","Subtask","Publicar runbook del dia del evento y contingencias","Webinar Ops","Marketing Ops Lead","Sprint W3","Planned","P0","Yes","Ensayo general realizado","Runbook compartido","Dejar checklist del evento, roles, tiempos y fallback."
"PKWEB-008","","Task","Ejecutar webinar en vivo y captura de demanda","Marketing + Sales","Webinar Host","Sprint W4","Planned","P0","Yes","Ensayo y runbook completados","La demanda queda capturada y segmentada","Operar el evento como momento de conversión y no sólo de awareness."
"PKWEB-008.1","PKWEB-008","Subtask","Coordinar host moderacion encuestas y CTA en vivo","Marketing","Webinar Host","Sprint W4","Planned","P0","Yes","Runbook validado","Evento ejecutado según guion","Asegurar conducción clara, energía y CTA visibles."
"PKWEB-008.2","PKWEB-008","Subtask","Capturar preguntas señales de compra y score de asistentes","Sales + Ops","Sales Ops","Sprint W4","Planned","P0","Yes","Evento en marcha","Señales de intención registradas","Etiquetar preguntas, interés y urgencia por asistente."
"PKWEB-008.3","PKWEB-008","Subtask","Consolidar asistencia no show y leads calientes al cierre","Marketing Ops + Sales","RevOps Lead","Sprint W4","Planned","P0","Yes","Datos de evento disponibles","Lista de follow-up priorizada","Cerrar la foto del evento al terminar."
"PKWEB-009","","Task","Activar follow-up comercial de 72 horas","Sales + CRM","Sales Lead","Sprint W4","Planned","P0","Yes","Asistencia y score consolidados","Leads calientes avanzan a conversación o cierre","Capitalizar el interés generado inmediatamente después del webinar."
"PKWEB-009.1","PKWEB-009","Subtask","Enviar replay segmentado por asistencia e intencion","CRM","Lifecycle Lead","Sprint W4","Planned","P0","Yes","Segmentación final disponible","Replay enviado con mensaje correcto","Separar no-show, asistente tibio y asistente caliente."
"PKWEB-009.2","PKWEB-009","Subtask","Agendar demos onboarding o llamadas de cierre","Sales","SDR Lead","Sprint W4","Planned","P0","Yes","Leads priorizados","Agenda comercial llena","Mover leads con intención a siguiente paso concreto."
"PKWEB-009.3","PKWEB-009","Subtask","Hacer cierre y reactivacion de leads templados","Sales","Sales Lead","Sprint W4","Planned","P1","No","Flujo principal de follow-up activo","Leads templados recirculados","Crear secuencia para quienes no compran en la primera ola."
"PKWEB-010","","Task","Medir resultados y documentar siguiente iteracion","Growth + Product Marketing","Growth Lead","Sprint W4","Planned","P1","No","Follow-up inicial completado","Existe playbook optimizado para siguiente webinar","Convertir el lanzamiento en una máquina repetible."
"PKWEB-010.1","PKWEB-010","Subtask","Analizar conversion por fuente mensaje y segmento","Growth","Growth Lead","Sprint W4","Planned","P1","No","Datos completos de campaña y evento","Lectura clara de performance","Comparar canal, copy, fuente y segmento."
"PKWEB-010.2","PKWEB-010","Subtask","Documentar aprendizajes assets ganadores y objeciones","Product Marketing","PMM Lead","Sprint W4","Planned","P1","No","Datos y feedback consolidados","Memoria operativa publicada","Registrar qué funcionó y qué friccionó."
"PKWEB-010.3","PKWEB-010","Subtask","Definir backlog de optimizacion para el siguiente webinar","Growth + PMM","Growth Lead","Sprint W4","Planned","P1","No","Aprendizajes documentados","Siguiente iteración priorizada","Traducir insights en backlog accionable."
